,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,song_title,artist,opinion
540,0.693,0.713,10,-4.489,0,0.351,0.343,0,0.102,0.615,137.335,266080,4,Doves In The Wind (feat. Kendrick Lamar),SZA,NA
541,0.654,0.753,11,-7.556,0,0.395,0.303,8.08E-05,0.13,0.371,110.722,723573,5,"Sing About Me, I'm Dying Of Thirst",Kendrick Lamar,NA
542,0.322,0.555,11,-8.726,0,0.129,0.208,0.00437,0.325,0.397,96.019,132147,3,E. Coli (feat. Earl Sweatshirt),The Alchemist,1
543,0.613,0.442,6,-8.874,1,0.288,0.651,0,0.26,0.252,119.737,181120,5,Supermodel,SZA,NA
544,0.362,0.518,1,-7.687,1,0.306,0.223,0.00314,0.316,0.348,89.667,245947,4,Pretty Little Birds (feat. Isaiah Rashad),SZA,NA
545,0.537,0.753,8,-9.441,1,0.35,0.328,1.52E-05,0.368,0.693,90.292,115827,4,Fancy Clown,Madvillain,NA
546,0.42,0.701,1,-7.582,0,0.339,0.832,0,0.103,0.671,79.716,349040,4,"327 (feat. Tyler, The Creator & Billie Essco)",Westside Gunn,1
547,0.523,0.654,6,-9.531,0,0.216,0.815,8.34E-06,0.211,0.544,79.192,244053,4,Scottie Beam,Freddie Gibbs,1
548,0.733,0.912,8,-3.239,0,0.223,0.223,0,0.206,0.888,89.947,211631,4,Waves,Joey Bada$$,1
549,0.406,0.524,5,-11.071,1,0.255,0.469,3.95E-06,0.117,0.412,56.046,282560,4,"Something to Rap About (feat. Tyler, The Creator)",Freddie Gibbs,1
550,0.545,0.442,5,-12.111,1,0.0352,0.0104,0.0271,0.0664,0.242,118.073,379227,3,Me and Your Mama,Childish Gambino,NA
551,0.569,0.881,11,-5.873,0,0.365,0.111,0,0.655,0.811,148.067,301769,4,Fight the Feeling (feat. Kendrick Lamar & Iman Omari),Mac Miller,NA
552,0.371,0.655,0,-9.901,1,0.0771,0.0526,2.14E-06,0.168,0.855,147.794,64766,4,"Love, of Money",MAVI,NA
553,0.284,0.803,2,-5.293,0,0.173,0.302,0,0.242,0.553,67.536,323960,4,Jukebox Joints (feat. Joe Fox & Kanye West),A$AP Rocky,1
554,0.559,0.578,8,-9.54,1,0.151,0.79,0.000522,0.324,0.239,79.938,320720,4,Boredom (feat. Rex Orange County & Anna of the North),"Tyler, The Creator",1
555,0.35,0.621,8,-6.495,0,0.233,0.256,3.44E-05,0.613,0.459,83.375,253387,4,She,"Tyler, The Creator",1
556,0.401,0.532,5,-11.554,0,0.508,0.103,0,0.478,0.413,84.777,60000,4,Droppin' Seeds (feat. Lil' Wayne),"Tyler, The Creator",NA
557,0.558,0.887,1,-8.083,1,0.265,0.132,0,0.89,0.537,119.91,247293,4,48,"Tyler, The Creator",NA
558,0.472,0.777,8,-8.666,1,0.294,0.225,0.0283,0.195,0.673,153.78,227467,4,Awkward,"Tyler, The Creator",NA
559,0.458,0.64,2,-4.515,1,0.0419,0.00196,0.0288,0.0782,0.205,145.94,397384,4,"OKAGA, CA (feat. Alice Smith, Leon Ware & Clem Creevy)","Tyler, The Creator",NA
560,0.788,0.939,9,-7.327,0,0.0544,0.0723,0.000181,0.133,0.98,137.002,140182,4,Ryd,Steve Lacy,NA
561,0.673,0.463,2,-7.247,1,0.191,0.681,4.9E-06,0.0907,0.268,147.981,277521,4,Biking,Frank Ocean,1
562,0.362,0.761,2,-8.509,0,0.241,0.442,0,0.741,0.586,80.355,237107,4,Lone,"Tyler, The Creator",NA
563,0.426,0.303,1,-11.52,0,0.0787,0.316,0.00795,0.411,0.383,139.042,109893,4,WOLF,"Tyler, The Creator",NA
564,0.397,0.701,1,-7.328,1,0.0737,0.0127,0.000207,0.749,0.179,74.518,190285,4,"BLOW MY LOAD (feat. Wanya Morris, Dâm-Funk, Austin Feinstein & Sydney Bennett)","Tyler, The Creator",NA
565,0.575,0.624,1,-6.876,0,0.103,0.013,4.74E-05,0.0522,0.273,154.687,233853,4,Slater (feat. Frank Ocean),"Tyler, The Creator",NA
566,0.352,0.838,8,-6.465,0,0.0496,0.00329,5.74E-06,0.115,0.475,72.291,230067,4,Answer,"Tyler, The Creator",NA
567,0.58,0.69,0,-9.52,1,0.0267,0.568,0.0221,0.226,0.922,89.981,227000,4,Loving Machine,TV Girl,NA
568,0.423,0.456,2,-8.45,0,0.0579,0.381,0.016,0.12,0.148,112.984,223947,4,Garden Shed (feat. Estelle),"Tyler, The Creator",NA
569,0.427,0.849,7,-2.945,1,0.348,0.015,0.00373,0.153,0.55,79.155,334363,4,SMUCKERS (feat. Lil Wayne & Kanye West),"Tyler, The Creator",1
570,0.727,0.919,0,-4.562,1,0.0285,0.165,0.0111,0.306,0.92,115.816,194453,4,Louise,TV Girl,NA
571,0.673,0.886,9,-4.347,1,0.0282,0.302,0.348,0.0792,0.679,140.586,152000,4,It Almost Worked,TV Girl,NA
572,0.501,0.547,1,-7.961,0,0.0243,0.225,0.912,0.288,0.225,87.692,227760,4,The Blonde,TV Girl,NA
573,0.594,0.304,7,-14.389,1,0.036,0.956,0.00579,0.119,0.308,122.636,158105,4,I Wait for You,alex_g_offline,NA
